anime_id,genre,type,episodes,rating,members
32366,"Comedy, Parody",OVA,2,8.69,16947
30654,"Action, Comedy, School, Shounen",TV,25,8.68,176475
20583,"Comedy, Drama, School, Shounen, Sports",TV,25,8.68,284498
19647,"Comedy, Drama, Shounen, Sports",TV,25,8.68,66756
4282,"Action, Drama, Mystery, Romance, Supernatural, Thriller",Movie,1,8.68,111074
10379,"Drama, Fantasy, Shoujo, Slice of Life, Supernatural",TV,13,8.67,102322
22135,"Psychological, Seinen, Sports",TV,11,8.67,97187
21329,"Adventure, Fantasy, Historical, Mystery, Seinen, Slice of Life, Supernatural",Special,1,8.66,49036
31043,"Mystery, Psychological, Seinen, Supernatural",TV,12,8.65,402381
7785,"Mystery, Psychological, Romance",TV,11,8.65,122531
3297,"Fantasy, Sci-Fi, Shounen, Slice of Life",TV,13,8.64,56162
30709,"Comedy, Demons, Fantasy, Shoujo, Supernatural",OVA,4,8.64,33422
6114,"Drama, Historical, Seinen, Thriller",TV,26,8.64,139474
31240,"Drama, Fantasy, Psychological, Thriller",TV,25,8.64,355839
4565,"Action, Mecha, Sci-Fi, Space, Super Power",Movie,1,8.64,82253
5300,"Drama, Fantasy, Shoujo, Slice of Life, Supernatural",TV,13,8.64,114173
9989,"Drama, Slice of Life, Supernatural",TV,11,8.62,463835
24415,"Comedy, School, Shounen, Sports",TV,25,8.62,184525
11577,"Sci-Fi, Thriller",Movie,1,8.61,192424
10408,"Drama, Romance, Shoujo, Supernatural",Movie,1,8.61,197439
28171,"Ecchi, School, Shounen",TV,24,8.61,348951
32995,"Comedy, Sports",TV,12,8.61,103178
21899,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",Movie,2,8.6,11104
26055,"Action, Adventure, Drama, Shounen, Supernatural",TV,24,8.6,93657
7472,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",Movie,1,8.59,51185
777,"Action, Horror, Military, Seinen, Supernatural, Vampire",OVA,10,8.59,297454
22535,"Action, Drama, Horror, Psychological, Sci-Fi, Seinen",TV,24,8.59,425457
28735,"Drama, Historical, Josei",TV,13,8.59,71295
12431,"Comedy, Sci-Fi, Seinen, Slice of Life, Space",TV,99,8.59,72958
28805,"Adventure, Supernatural",Movie,1,8.58,80825
578,"Drama, Historical",Movie,1,8.58,174878
16894,"Comedy, School, Shounen, Sports",TV,25,8.58,243325
5028,"Comedy, Drama, Romance, Sports",TV,25,8.58,28653
801,"Action, Mecha, Military, Mystery, Police, Sci-Fi, Seinen",TV,26,8.57,113993
31933,"Action, Adventure, Comedy, Drama, Shounen, Supernatural",TV,39,8.57,74074
5205,"Action, Mystery, Romance, Supernatural, Thriller",Movie,1,8.57,95658
17389,"Action, Historical, Military, Seinen",TV,39,8.57,31234
170,"Comedy, Drama, School, Shounen, Sports",TV,101,8.56,82570
10162,"Josei, Slice of Life",TV,11,8.56,194855
18617,"Military, School",Movie,1,8.55,25641
32182,"Action, Comedy, Slice of Life, Supernatural",TV,12,8.55,193716
877,"Comedy, Drama, Music, Romance, Shoujo, Slice of Life",TV,47,8.55,197256
2251,"Action, Comedy, Historical, Mystery, Seinen, Supernatural",TV,13,8.54,363215
24687,"Adventure, Fantasy, Historical, Mystery, Seinen, Slice of Life, Supernatural",Special,1,8.54,34011
16498,"Action, Drama, Fantasy, Shounen, Super Power",TV,25,8.54,896229
10030,"Comedy, Drama, Romance, Shounen",TV,25,8.53,151561
5941,"Comedy, Drama, Romance, School, Sports",TV,50,8.53,53108
30346,"Romance, School, Shounen Ai, Slice of Life",Movie,1,8.53,28864
3784,"Action, Mecha, Sci-Fi",Movie,1,8.53,182224
13125,"Drama, Horror, Mystery, Sci-Fi, Supernatural",TV,25,8.53,288376
12029,"Action, Drama, Military, Sci-Fi, Space",OVA,26,8.53,44223
14397,"Drama, Game, Josei, Slice of Life, Sports",TV,25,8.52,86074
10087,"Action, Fantasy, Supernatural",TV,13,8.51,453630
14719,"Action, Adventure, Shounen, Supernatural, Vampire",TV,26,8.51,190197
9756,"Drama, Magic, Psychological, Thriller",TV,12,8.51,462974
10165,"Comedy, School, Slice of Life",TV,26,8.52,254436
13601,"Action, Police, Psychological, Sci-Fi",TV,22,8.5,509109
22789,"Comedy, Slice of Life",TV,12,8.5,225927
30230,"Comedy, School, Shounen, Sports",TV,51,8.5,38531
18115,"Action, Adventure, Fantasy, Magic, Shounen",TV,25,8.5,245026
11981,"Drama, Magic, Psychological, Thriller",Movie,1,8.5,135735
11917,"Comedy, Drama, Sports",OVA,2,8.5,13405
205,"Action, Adventure, Comedy, Historical, Samurai, Shounen",TV,26,8.5,390076
32282,"Ecchi, School, Shounen",TV,13,8.5,185015
6594,"Action, Adventure, Historical, Martial Arts, Romance",TV,12,8.49,207241
11979,"Drama, Magic, Psychological, Thriller",Movie,1,8.49,85361
7655,"Comedy, Drama, Sports",TV,25,8.49,24788
2246,"Demons, Fantasy, Historical, Horror, Mystery, Seinen, Supernatural",TV,12,8.49,88850
25835,"Comedy, Drama",TV,24,8.49,146895
2921,"Drama, Sports",TV,47,8.48,6259
136,"Action, Adventure, Shounen, Super Power",TV,62,8.48,166255
30503,"Action, Adventure, Shounen, Supernatural",TV,13,8.48,299434
12531,"Drama, Josei, Music, Romance, School",TV,12,8.48,146592
523,"Adventure, Comedy, Supernatural",Movie,1,8.48,271484
467,"Action, Mecha, Military, Police, Sci-Fi, Seinen",TV,26,8.47,194491
572,"Adventure, Fantasy",Movie,1,8.47,143273
19815,"Adventure, Comedy, Ecchi, Fantasy, Game, Supernatural",TV,12,8.47,602291
2559,"Adventure, Drama, Historical, Slice of Life",TV,33,8.47,15074
392,"Action, Comedy, Demons, Fantasy, Martial Arts, School, Shounen",TV,112,8.47,195017
486,"Action, Adventure, Slice of Life",TV,13,8.46,102822
11771,"Comedy, School, Shounen, Sports",TV,25,8.46,338315
1698,"Comedy, Drama, Josei, Music, Romance, Slice of Life",TV,23,8.46,157025
5341,"Adventure, Fantasy, Historical, Romance",TV,12,8.46,210491
25781,"Action, Fantasy, Shoujo, Supernatural",OVA,2,8.45,92543
10863,"Sci-Fi, Thriller",Special,1,8.46,159548
28701,"Action, Fantasy, Magic, Shounen, Supernatural",TV,13,8.45,205987
5420,"Drama, Fantasy",TV,50,8.45,36751
9260,"Mystery, Supernatural, Vampire",Movie,1,8.45,99579
32,"Dementia, Drama, Mecha, Psychological, Sci-Fi",Movie,1,8.45,215630
4224,"Comedy, Romance, School, Slice of Life",TV,25,8.45,633817
2236,"Adventure, Drama, Romance, Sci-Fi",Movie,1,8.44,289206
2685,"Action, Adventure, Drama, Fantasy, Romance, Shounen",OVA,3,8.44,57963
31181,"Comedy, Mystery, Supernatural",TV,12,8.43,107855
45,"Action, Adventure, Comedy, Historical, Romance, Samurai",TV,94,8.43,218928
2418,"Action, Adventure, Historical, Samurai",Movie,1,8.43,125503
1365,"Adventure, Mystery, Police, Shounen",Movie,1,8.42,28462
22297,"Action, Fantasy, Magic, Shounen, Supernatural",TV,12,8.42,267484
627,"Comedy, Drama, Shounen, Sports",TV,26,8.42,41061
10937,"Action, Mecha, Military, Sci-Fi, Shounen, Space",OVA,6,8.42,15420
23755,"Action, Adventure, Ecchi, Fantasy, Shounen, Supernatural",TV,24,8.42,331627
4081,"Drama, Fantasy, Shoujo, Slice of Life, Supernatural",TV,13,8.42,210736
4155,"Action, Adventure, Comedy, Drama, Fantasy, Shounen",Movie,1,8.42,85020
1889,"Mystery, Psychological, Supernatural, Thriller",TV,24,8.41,218101
137,"Action, Adventure, Shounen, Super Power",OVA,8,8.41,53168
139,"Action, Adventure, Shounen, Super Power",OVA,14,8.41,55787
23317,"Comedy, Demons, Fantasy, Historical, Mystery, Shounen, Supernatural",OVA,2,8.41,67261
558,"Comedy, Drama, Shounen, Sports",TV,26,8.41,30689
5040,"Psychological, Seinen, Sports",TV,25,8.41,83056
57,"Comedy, Drama, Music, Shounen, Slice of Life",TV,26,8.4,148328
33,"Action, Adventure, Demons, Drama, Fantasy, Horror, Military, Romance, Seinen, Supernatural",TV,25,8.4,226430
5,"Action, Drama, Mystery, Sci-Fi, Space",Movie,1,8.4,137636
1842,"Drama, Shounen, Sports",TV,26,8.4,29528
6336,"Action, Drama, Mecha, Military, Sci-Fi, Space",OVA,7,8.4,42076
20651,"Drama, Fantasy, Shoujo, Slice of Life, Supernatural",OVA,1,8.4,28302
1210,"Comedy, Drama, Psychological, Romance",TV,24,8.4,291228
338,"Adventure, Drama, Historical, Romance, Shoujo",TV,40,8.4,32188
13759,"Comedy, Drama, Romance, School, Slice of Life",TV,24,8.4,380375
6547,"Action, Comedy, Drama, School, Supernatural",TV,13,8.39,717796
5081,"Mystery, Romance, Supernatural, Vampire",TV,15,8.39,482268
32867,"Mystery, Seinen, Supernatural",TV,12,8.39,83641
264,"Comedy, Shounen, Sports",Special,1,8.39,47840
12859,"Action, Adventure, Comedy, Drama, Fantasy, Shounen",Movie,1,8.39,76051
853,"Comedy, Harem, Romance, School, Shoujo",TV,26,8.39,422271
5460,"Action, Mystery, Police, Shounen",Movie,1,8.38,21798
6746,"Action, Mystery, Supernatural",TV,24,8.38,556431
5690,"Comedy, Josei, Music, Romance",TV,11,8.38,67697
329,"Drama, Romance, Sci-Fi, Seinen, Space",TV,26,8.38,105044
34240,"Music, Sci-Fi",Music,1,8.38,71136
513,"Adventure, Fantasy, Romance, Sci-Fi",Movie,1,8.38,151061
6945,"Action, Comedy, Historical, Parody, Sci-Fi",Special,1,8.37,27213
1142,"Drama, Josei, Romance",TV,12,8.37,61493
6811,"Action, Adventure, Comedy, Demons, Fantasy, Magic, Romance, Shounen, Supernatural",TV,26,8.37,99128
16664,"Fantasy, Historical",Movie,1,8.37,45547
1604,"Action, Comedy, Shounen, Super Power",TV,203,8.37,258103
22145,"Comedy, Demons, Fantasy, Historical, Shounen, Supernatural",TV,10,8.37,122895
2966,"Adventure, Fantasy, Historical, Romance",TV,13,8.37,334932
31964,"Action, Comedy, School, Shounen, Super Power",TV,13,8.36,282002
19363,"Comedy, School, Shounen, Slice of Life",TV,11,8.36,67032
18195,"Comedy, Drama, Romance, School, Slice of Life, Supernatural",TV,13,8.36,71820
9890,"Comedy, Drama, Sports",OVA,1,8.36,12282
9130,"Action, Adventure, Martial Arts, Shounen, Super Power, Supernatural",OVA,13,8.36,27532
9863,"Comedy, School, Shounen",TV,77,8.36,101027
7674,"Comedy, Romance, Shounen",TV,25,8.35,246899
11843,"Comedy, School, Shounen, Slice of Life",TV,12,8.35,258914
16782,"Drama, Psychological, Romance, Slice of Life",Movie,1,8.35,189741
28675,"Fantasy, Slice of Life, Supernatural",Movie,1,8.35,59815
3226,"Comedy, Drama, Shounen, Sports",TV,26,8.35,28002
21557,"Drama, Mystery, Psychological",Movie,1,8.35,53590
31715,"Comedy, Romance, Slice of Life",Special,1,8.34,31856
43,"Action, Mecha, Police, Psychological, Sci-Fi, Seinen",Movie,1,8.34,223036
9617,"Comedy, Music, Slice of Life",Movie,1,8.34,115252
31051,"Action, School, Shounen, Sports",Special,1,8.34,22900
10153,"Action, Comedy, Drama, Magic, Super Power",Movie,1,8.34,13315
1033,"Action, Adventure, Drama, Fantasy, Historical, Romance",Movie,1,8.34,58492
32188,"Sci-Fi, Thriller",Special,1,8.34,38147
3091,"Comedy, Drama, Mystery, Psychological, Supernatural",TV,13,8.34,74941
12115,"Action, Adventure, Demons, Drama, Fantasy, Horror, Military, Seinen, Supernatural",Movie,1,8.33,65594
28223,"Drama, Game, Mystery, Psychological, Thriller",TV,12,8.33,383914
121,"Action, Adventure, Comedy, Drama, Fantasy, Magic, Military, Shounen",TV,51,8.33,600384
3002,"Game, Psychological, Seinen, Thriller",TV,26,8.33,98996
138,"Action, Adventure, Shounen, Super Power",OVA,8,8.33,57029
6675,"Action, Cars, Sci-Fi, Sports",Movie,1,8.33,109392
10800,"Drama, Game, Josei, Slice of Life, Sports",TV,25,8.32,158561
32005,"Action, Mystery, Police, Shounen",Movie,1,8.32,6229
813,"Action, Adventure, Comedy, Fantasy, Martial Arts, Shounen, Super Power",TV,291,8.32,375662
27821,"Action, Fantasy, Magic, Shounen, Supernatural",Special,1,8.32,106382
28725,"Drama, Romance, School",Movie,1,8.32,59652
585,"Adventure, Drama, Fantasy, Romance, Slice of Life",Movie,1,8.32,94435
16067,"Drama, Fantasy, Romance",TV,26,8.32,224947
30,"Action, Dementia, Drama, Mecha, Psychological, Sci-Fi",TV,26,8.32,461946
31490,"Action, Adventure, Comedy, Drama, Fantasy, Shounen",Movie,1,8.32,18642
759,"Comedy, Drama",Movie,1,8.32,89424
6,"Action, Comedy, Sci-Fi",TV,26,8.32,283069
6864,"Mystery, Supernatural",OVA,2,8.32,36353
9735,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",Special,1,8.31,14002
11977,"Drama, Magic, Psychological, Thriller",Movie,1,8.31,88164
11123,"Comedy, Drama, Romance, Shounen Ai",TV,12,8.31,69253
23847,"Comedy, Drama, Romance, School",TV,13,8.31,222994
33161,"Comedy, Romance, School",OVA,1,8.31,35120
962,"Fantasy, Sci-Fi, Shounen, Slice of Life",TV,26,8.3,39596
1519,"Action, Seinen",TV,12,8.3,203233
2167,"Comedy, Drama, Romance, School, Slice of Life, Supernatural",TV,23,8.3,566690
16706,"Comedy, Harem, Romance, Shounen, Supernatural",TV,12,8.3,142612
5681,"Comedy, Sci-Fi",Movie,1,8.3,223359
3901,"Action, Comedy, Historical, Mystery, Seinen, Supernatural",Special,3,8.29,100412
6467,"Action, Mystery, Police, Shounen",Movie,1,8.29,20602
10271,"Game, Psychological, Seinen, Thriller",TV,26,8.29,55566
22507,"Cars, Seinen, Sports",TV,4,8.29,19702
3701,"Adventure, Mystery, Romance, Sci-Fi",TV,12,8.29,56927
19123,"Action, Adventure, Comedy, Drama, Fantasy, Shounen, Super Power",Special,1,8.29,17247
33255,"Comedy, School, Shounen, Supernatural",TV,120,8.29,47092
372,"Comedy, Drama, Fantasy, Magic, Romance, Shoujo",Movie,1,8.28,60637
265,"Comedy, Shounen, Sports",OVA,1,8.28,40623
25681,"Comedy, Demons, Fantasy, Romance, Shoujo, Supernatural",TV,12,8.28,91796
4722,"Comedy, Drama, Romance, Shoujo",TV,25,8.28,134818
24277,"Comedy, Drama, Shounen, Sports",TV,24,8.28,50778
239,"Drama, Mystery, Sci-Fi, Supernatural, Thriller",TV,24,8.27,103828
512,"Adventure, Comedy, Drama, Fantasy, Magic, Romance",Movie,1,8.27,152331
4477,"Comedy, Josei, Music, Romance, Slice of Life",TV,11,8.27,70822
15323,"Action, Adventure, Comedy, Drama, Fantasy, Shounen, Super Power",Special,1,8.27,24707
31174,"Comedy, Parody",TV,25,8.27,60988
23327,"Comedy, Sci-Fi, Space",TV,13,8.27,60918
5365,Drama,Movie,1,8.27,45189
3702,"Comedy, Music",OVA,12,8.26,104893
3167,"Sci-Fi, Slice of Life",ONA,6,8.26,99074
7465,"Sci-Fi, Slice of Life",Movie,1,8.26,66376
7054,"Comedy, Romance, School, Shoujo",TV,26,8.26,391628
1257,"Adventure, Sci-Fi, Shounen",OVA,13,8.26,23701
23283,"Psychological, Thriller",TV,11,8.26,342893
2025,"Action, Mystery, Sci-Fi, Super Power",TV,25,8.25,440334
1364,"Adventure, Comedy, Mystery, Police, Shounen",Movie,1,8.25,25432
18689,"Comedy, School, Shounen, Sports",TV,75,8.25,81384
22043,"Action, Adventure, Comedy, Fantasy, Magic, Shounen",TV,102,8.25,255076
31988,"Drama, Music, School",TV,13,8.25,47716
20899,"Action, Adventure, Drama, Shounen, Supernatural",TV,24,8.25,120089
1453,"Comedy, Drama, Romance, Slice of Life",TV,96,8.25,22079
23623,"Comedy, School, Seinen, Slice of Life",TV,12,8.26,64230
1559,"Action, Comedy, Martial Arts, School, Shounen",TV,50,8.25,129112
1382,"Adventure, Drama, Mecha, Sci-Fi, Shounen",OVA,8,8.25,5001
23289,"Comedy, Romance, School",TV,12,8.24,292622
18,"Action, Cars, Drama, Seinen, Sports",TV,24,8.24,41584
4814,"Comedy, Drama, Romance, Shounen Ai",TV,12,8.24,87617
16662,"Drama, Historical, Romance",Movie,1,8.24,75359
12031,"Action, Historical, Military, Seinen",TV,38,8.24,54211
8129,"Comedy, Josei, Slice of Life",TV,11,8.24,108053
14513,"Action, Adventure, Fantasy, Magic, Shounen",TV,25,8.24,317513
2581,"Action, Drama, Mecha, Military, Sci-Fi, Space",TV,25,8.24,120351
30015,"Romance, School, Slice of Life",TV,13,8.24,202249
6171,"Action, Adventure, Martial Arts, Shounen, Super Power, Supernatural",OVA,13,8.24,40355
1827,"Action, Adventure, Fantasy, Historical",TV,26,8.24,106888
25013,"Action, Adventure, Comedy, Fantasy, Romance, Shoujo",TV,24,8.23,216674
1367,"Adventure, Comedy, Mystery, Police, Shounen",Movie,1,8.23,23130
27833,"Action, Mystery, Supernatural",TV,12,8.23,115295
26213,"Comedy, School, Slice of Life",Special,1,8.23,36091
1974,"Drama, Shoujo",TV,51,8.23,17038
8425,"Drama, Historical, Mystery, Romance",TV,24,8.23,232113
12069,"Comedy, Drama, Shounen, Sports",Special,1,8.23,20157
185,"Action, Cars, Drama, Seinen, Sports",TV,26,8.23,68128
18679,"Action, Comedy, School, Super Power",TV,24,8.23,508118
2034,"Comedy, Romance, Shoujo",TV,24,8.23,235003
437,"Dementia, Drama, Horror, Psychological",Movie,1,8.23,117565
721,"Comedy, Fantasy, Magic, Romance",TV,38,8.23,73218
12477,"Sci-Fi, Seinen",Movie,1,8.23,89749
4938,"Action, Adventure, Drama, Fantasy, Magic, Mystery, Romance, Shounen, Supernatural",OVA,2,8.23,40420
2402,"Drama, Sports",TV,79,8.22,15442
6702,"Action, Adventure, Comedy, Fantasy, Magic, Shounen",TV,175,8.22,584590
1566,"Mecha, Military, Mystery, Police, Sci-Fi, Seinen",Special,1,8.22,55247
31741,"Action, Adventure, Fantasy, Magic, Shounen",TV,13,8.22,73480
440,"Drama, Fantasy, Psychological, Shoujo",TV,39,8.22,77464
4107,"Action, Comedy, Mecha",Movie,1,8.22,72933
1506,"Adventure, Comedy, Mystery, Police, Shounen",Movie,1,8.21,21789
2759,"Action, Mecha, Sci-Fi",Movie,1,8.21,194561
72,"Action, Comedy, School",TV,12,8.21,171086
3016,"Action, Drama, Military, Sci-Fi, Space",Movie,1,8.21,11808
3783,"Action, Drama, Mystery, Supernatural, Thriller",Movie,1,8.21,108720
3927,"Action, Drama, Mecha, Military, Sci-Fi, Space",TV,25,8.21,86972
11597,"Comedy, Mystery, Supernatural",TV,11,8.21,260062
28025,"Comedy, Mystery, Supernatural",TV,4,8.21,111009
24833,"Action, Comedy, School, Shounen",TV,22,8.2,312654
29893,"Fantasy, Sci-Fi, Shounen, Slice of Life",Special,3,8.2,9500
27663,"Romance, School, Shounen, Sports",TV,25,8.2,36251
1482,"Action, Adventure, Comedy, Shounen",TV,103,8.2,334399
3371,"Action, Military, Sci-Fi, Space",OVA,24,8.2,8621
25313,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",Special,1,8.2,13764
1430,"Adventure, Comedy, Shounen",Movie,1,8.2,32732
33051,"Action, Drama, Mecha, Sci-Fi, Space",TV,25,8.2,21210
7720,"Comedy, Sports",TV,13,8.2,22190
1914,"Adventure, Comedy, Drama, Fantasy, Historical, Romance",TV,39,8.2,23160
20371,"Comedy, Drama, Romance, Shounen Ai",Movie,1,8.2,23045
15039,"Drama, Slice of Life, Supernatural",Movie,1,8.19,95241
2164,"Adventure, Comedy, Drama, Mystery, Sci-Fi",TV,26,8.19,76860
237,"Adventure, Drama, Mecha, Romance, Sci-Fi",TV,50,8.19,239570
2449,"Action, Mecha, Mystery, Police, Psychological, Sci-Fi, Seinen",Special,1,8.19,21435
10643,"Action, Comedy, Parody, Samurai",Special,1,8.19,14728
17739,"Comedy, School, Slice of Life",OVA,2,8.19,5959
135,"Comedy, Game, Shounen, Supernatural",TV,75,8.19,69000
6045,"Romance, School, Shoujo, Slice of Life",TV,25,8.19,309339
16001,"Comedy, Drama, Romance, School, Slice of Life, Supernatural",Special,4,8.19,106989
6211,Drama,TV,11,8.19,121349
232,"Adventure, Comedy, Drama, Fantasy, Magic, Romance, School, Shoujo",TV,70,8.18,181249
4789,"Drama, Mystery, Romance, Supernatural",TV,12,8.18,103657
16918,"Comedy, School, Shounen, Slice of Life",TV,11,8.18,116261
16,"Comedy, Drama, Josei, Romance",TV,24,8.18,130646
1486,"Comedy, Drama, Romance, Shoujo",TV,102,8.18,27893
24997,"Music, School, Slice of Life",Movie,1,8.18,38118
32902,"Fantasy, Magic",OVA,3,8.18,43372
8063,"Comedy, Drama, Romance, Shounen Ai",OVA,2,8.18,35225
25879,"Comedy, Romance, Slice of Life",TV,13,8.18,80763
889,"Action, Seinen",TV,12,8.17,332562
21419,"Action, Mystery, Police, Shounen",Movie,1,8.17,12151
2952,"Action, Fantasy, Super Power",OVA,1,8.17,77111
934,"Horror, Mystery, Psychological, Supernatural, Thriller",TV,26,8.17,359494
12189,"Mystery, School, Slice of Life",TV,22,8.17,372246
731,"Adventure, Drama, Music, Sci-Fi",Music,1,8.17,31464
1530,"Drama, Romance, Slice of Life, Supernatural",TV,24,8.17,163171
9656,"Romance, School, Shoujo, Slice of Life",TV,12,8.17,171866
20507,"Action, Adventure, Shounen, Supernatural",TV,12,8.17,515378
31149,"Action, Fantasy, Seinen, Supernatural",Movie,1,8.17,13359
4918,"Comedy, Drama, Mystery, Psychological, Supernatural",OVA,2,8.17,40401
14075,"Action, Drama, Fantasy, Magic, Mystery, Psychological, Shounen",TV,24,8.17,259900
4772,"Comedy, Shounen, Slice of Life",Special,1,8.16,11961
781,"Adventure, Comedy, Mystery, Police, Shounen",Movie,1,8.16,26799
1363,"Adventure, Comedy, Mystery, Police, Shounen",Movie,1,8.16,25461
223,"Adventure, Comedy, Fantasy, Martial Arts, Shounen, Super Power",TV,153,8.16,316102
2004,"Comedy, Drama, Slice of Life, Supernatural",TV,25,8.16,6321
25649,"Comedy, Drama, Romance, Shounen Ai",TV,12,8.16,39866
153,"Action, Adventure, Fantasy, Magic, Supernatural",TV,45,8.16,66646
5029,"Action, Shounen, Sports",Movie,1,8.16,9943
302,"Adventure, Drama, Sci-Fi",TV,26,8.16,15557
8740,"Action, Adventure, Comedy, Fantasy, Shounen, Super Power",OVA,1,8.16,33862
5682,"Action, Drama, Seinen, Thriller",TV,26,8.16,159105
21647,"Comedy, Romance, Slice of Life",Movie,1,8.16,72708
16049,"Action, Sci-Fi, Super Power",TV,24,8.16,137105
1065,"Drama, Romance, School, Shounen, Slice of Life, Sports",TV,101,8.16,12833
18179,"Comedy, Drama, Shounen, Sports",TV,38,8.16,91138
47,"Action, Adventure, Horror, Military, Sci-Fi, Supernatural",Movie,1,8.15,215897
4901,"Action, Seinen",OVA,5,8.15,108099
23199,"Action, Mystery, Supernatural",TV,12,8.15,189407
32122,"Action, Comedy, Historical, Parody, Samurai, Shounen",Special,1,8.15,7923
30415,"School, Slice of Life, Sports",Movie,1,8.15,24310
851,"Comedy, Shounen",OVA,10,8.15,7954
10049,"Action, Demons, Shounen, Supernatural",TV,24,8.15,75612
1943,"Fantasy, Horror, Mystery, Psychological, Sci-Fi, Thriller",Movie,1,8.15,163308
4053,"Comedy, School, Shounen, Sports",OVA,7,8.15,21020
846,"Comedy, Romance, School, Shounen",TV,26,8.15,93095
9926,"Comedy, Drama, Romance, Shounen Ai",TV,12,8.15,94820
31173,"Drama, Fantasy, Romance, Shoujo",TV,12,8.14,80862
4059,"Drama, Romance, School, Slice of Life",Special,1,8.14,160423
589,"Action, Adventure, Drama, Shounen",TV,21,8.14,10575
15059,"Action, Cars, Drama, Seinen, Sports",TV,14,8.14,26711
7791,"Comedy, Music, School, Slice of Life",TV,26,8.14,246276
17265,"Action, Adventure, Fantasy, Game, Magic, Shounen",TV,25,8.14,387100
20815,"Comedy, Romance, Shounen Ai",Movie,1,8.14,13454
535,"Adventure, Comedy, Demons, Fantasy, Magic",TV,26,8.14,39832
2563,"Fantasy, Sci-Fi, Shounen, Slice of Life",OVA,1,8.13,20629
9963,"Adventure, Comedy, Mystery, Police, Shounen",Movie,1,8.13,17165
32551,"Action, Adventure, Comedy, Drama",Movie,1,8.13,20989
